Station,Depth,Species,Colony_Number,Frag_ID,Tag_ID,Timepoint,Date,Photo,Mortality_%,Notes
535S,Shallow,PCOM,1110,1110_24,B_003,0,9/13/2024,Y,0,
535S,Shallow,PCOM,997,997_18,B_022,0,9/13/2024,Y,0,
535S,Shallow,PCOM,98,98_12,B_049,0,9/13/2024,Y,75,
535S,Shallow,PCOM,39,39_14,B_006,0,9/13/2024,Y,0,
535S,Shallow,PCOM,1109,1109_19,B_026,0,9/13/2024,Y,0,
535S,Shallow,PCOM,1112,1112_23,B_031,0,9/13/2024,N,MISSING,MISSING
535S,Shallow,PRUS,86,86_5,O_015,0,9/13/2024,N,MISSING,MISSING
535S,Shallow,PRUS,96,96_14,O_048,0,9/13/2024,Y,50,
535S,Shallow,PRUS,69,69_9,O_034,0,9/13/2024,N,100,
535S,Shallow,PRUS,77,77_18,O_029,0,9/13/2024,N,MISSING,MISSING
535S,Shallow,PRUS,1107,1107_4,O_024,0,9/13/2024,Y,50,
535S,Shallow,PRUS,47,47_19,O_043,0,9/13/2024,N,100,
535S,Shallow,PRUS,77,77_6,O_012,0,9/13/2024,N,MISSING,MISSING
535S,Shallow,PRUS,79,79_3,O_060,0,9/13/2024,Y,0,
535S,Shallow,PRUS,79,79_5,O_008,0,9/13/2024,N,MISSING,MISSING
536S,Shallow,PCOM,1108,1108_13,B_092,0,9/20/2024,Y,0,
536S,Shallow,PCOM,1110,1110_14,B_032,0,9/20/2024,Y,0,
536S,Shallow,PCOM,997,997_24,B_088,0,9/20/2024,Y,0,
536S,Shallow,PCOM,1112,1112_15,B_055,0,9/20/2024,Y,0,
536S,Shallow,PCOM,1000,1000_15,B_028,0,9/20/2024,Y,0,
536S,Shallow,PCOM,98,98_6,B_035,0,9/20/2024,Y,0,
536S,Shallow,PCOM,1109,1109_6,B_061,0,9/20/2024,Y,25,
536S,Shallow,PCOM,39,39_24,B_041,0,9/20/2024,Y,0,
536S,Shallow,PRUS,77,77_16,O_064,0,9/20/2024,Y,0,
536S,Shallow,PRUS,77,77_10,O_078,0,9/20/2024,N,100,DEAD
536S,Shallow,PRUS,96,96_11,O_068,0,9/20/2024,Y,0,
536S,Shallow,PRUS,78,78_25,O_074,0,9/20/2024,Y,0,
536S,Shallow,PRUS,81,81_6,O_071,0,9/20/2024,Y,25,
536S,Shallow,PRUS,79,79_22,O_079,0,9/20/2024,N,MISSING,MISSING
536S,Shallow,PRUS,69,69_12,O_088,0,9/20/2024,Y,0,
536S,Shallow,PRUS,86,86_15,O_004,0,9/20/2024,Y,25,
536S,Shallow,PRUS,1107,1107_16,O_058,0,9/20/2024,Y,0,
537S,Shallow,PCOM,997,997_3,B_038,0,9/20/2024,N,MISSING,MISSING
537S,Shallow,PCOM,1108,1108_11,B_036,0,9/20/2024,Y,50,
537S,Shallow,PCOM,98,98_20,B_039,0,9/20/2024,N,MISSING,MISSING
537S,Shallow,PCOM,1000,1000_20,B_046,0,9/20/2024,Y,0,
537S,Shallow,PCOM,39,39_17,B_021,0,9/20/2024,Y,0,
537S,Shallow,PCOM,1105,1105_5,B_014,0,9/20/2024,N,MISSING,MISSING
537S,Shallow,PCOM,1109,1109_21,B_044,0,9/20/2024,Y,25,
537S,Shallow,PCOM,1110,1110_19,B_025,0,9/20/2024,Y,25,
537S,Shallow,PRUS,69,69_20,O_033,0,9/20/2024,Y,0,
537S,Shallow,PRUS,1107,1107_9,O_022,0,9/20/2024,Y,0,
537S,Shallow,PRUS,77,77_3,O_013,0,9/20/2024,N,MISSING,MISSING
537S,Shallow,PRUS,77,77_24,O_010,0,9/20/2024,Y,25,
537S,Shallow,PRUS,79,79_24,O_019,0,9/20/2024,Y,75,
537S,Shallow,PRUS,86,86_23,O_005,0,9/20/2024,Y,0,
537S,Shallow,PRUS,86,86_9,O_051,0,9/20/2024,Y,0,
537S,Shallow,PRUS,87,87_1,O_028,0,9/20/2024,N,MISSING,MISSING
537S,Shallow,PRUS,97,97_23,O_009,0,9/20/2024,N,MISSING,COULD NOT LOCATE
538S,Shallow,PCOM,1000,1000_9,B_060,0,9/20/2024,N,MISSING,MISSING
538S,Shallow,PCOM,1110,1110_18,B_019,0,9/20/2024,Y,0,
538S,Shallow,PCOM,1105,1105_7,B_001,0,9/20/2024,Y,0,
538S,Shallow,PCOM,997,997_7,B_012,0,9/20/2024,Y,0,
538S,Shallow,PCOM,1112,1112_11,B_004,0,9/20/2024,Y,0,
538S,Shallow,PCOM,1109,1109_4,B_024,0,9/20/2024,N,MISSING,MISSING
538S,Shallow,PCOM,1108,1108_12,B_017,0,9/20/2024,Y,25,
538S,Shallow,PCOM,98,98_22,B_002,0,9/20/2024,Y,0,
538S,Shallow,PRUS,79,79_25,O_046,0,9/20/2024,Y,0,
538S,Shallow,PRUS,77,77_25,O_011,0,9/20/2024,N,MISSING,MISSING
538S,Shallow,PRUS,97,97_7,O_001,0,9/20/2024,N,MISSING,MISSING
538S,Shallow,PRUS,96,96_13,O_026,0,9/20/2024,Y,25,
538S,Shallow,PRUS,86,86_17,O_057,0,9/20/2024,N,MISSING,MISSING
538S,Shallow,PRUS,69,69_11,O_006,0,9/20/2024,N,MISSING,MISSING
538S,Shallow,PRUS,86,86_11,O_032,0,9/20/2024,N,MISSING,MISSING
538S,Shallow,PRUS,68,68_5,O_021,0,9/20/2024,Y,25,
538S,Shallow,PRUS,1107,1107_12,O_014,0,9/20/2024,Y,0,
539S,Shallow,PCOM,1110,1110_2,B_097,0,9/19/2024,Y,0,
539S,Shallow,PCOM,1113,1113_2,B_011,0,9/19/2024,N,MISSING,MISSING
539S,Shallow,PCOM,997,997_14,B_099,0,9/19/2024,Y,50,
539S,Shallow,PCOM,1108,1108_24,B_100,0,9/19/2024,Y,0,
539S,Shallow,PCOM,98,98_10,B_090,0,9/19/2024,Y,25,
539S,Shallow,PCOM,1112,1112_1,B_093,0,9/19/2024,Y,0,
539S,Shallow,PCOM,1105,1105_3,B_063,0,9/19/2024,Y,0,
539S,Shallow,PCOM,98,98_8,B_089,0,9/19/2024,Y,0,
539S,Shallow,PRUS,79,79_19,O_067,0,9/19/2024,Y,50,
539S,Shallow,PRUS,97,97_20,O_093,0,9/19/2024,N,MISSING,MISSING
539S,Shallow,PRUS,77,77_11,O_069,0,9/19/2024,N,MISSING,MISSING
539S,Shallow,PRUS,78,78_21,O_086,0,9/19/2024,Y,25,
539S,Shallow,PRUS,69,69_19,O_082,0,9/19/2024,Y,0,
539S,Shallow,PRUS,68,68_18,O_072,0,9/19/2024,N,MISSING,MISSING
539S,Shallow,PRUS,86,86_8,O_056,0,9/19/2024,N,MISSING,MISSING
539S,Shallow,PRUS,1107,1107_10,O_065,0,9/19/2024,N,MISSING,MISSING
539S,Shallow,PRUS,96,96_20,O_100,0,9/19/2024,Y,0,
539S,Shallow,PRUS,87,87_24,O_084,0,9/19/2024,N,MISSING,MISSING
540S,Shallow,PCOM,1000,1000_2,B_087,0,9/19/2024,Y,0,
540S,Shallow,PCOM,1113,1113_13,B_080,0,9/19/2024,Y,0,
540S,Shallow,PCOM,1110,1110_25,B_058,0,9/19/2024,Y,0,
540S,Shallow,PCOM,1108,1108_7,B_095,0,9/19/2024,Y,0,
540S,Shallow,PCOM,1109,1109_23,B_084,0,9/19/2024,Y,0,
540S,Shallow,PCOM,997,997_16,B_042,0,9/19/2024,Y,0,
540S,Shallow,PCOM,98,98_9,B_034,0,9/19/2024,N,MISSING,MISSING
540S,Shallow,PRUS,77,77_14,O_023,0,9/19/2024,Y,0,
540S,Shallow,PRUS,79,79_14,O_097,0,9/19/2024,Y,0,
540S,Shallow,PRUS,1107,1107_23,O_087,0,9/19/2024,N,100,DEAD
540S,Shallow,PRUS,1107,1107_11,O_081,0,9/19/2024,Y,25,
540S,Shallow,PRUS,87,87_16,O_095,0,9/19/2024,Y,25,
540S,Shallow,PRUS,86,86_13,O_075,0,9/19/2024,Y,25,
540S,Shallow,PRUS,96,96_10,O_098,0,9/19/2024,Y,50,
540S,Shallow,PRUS,78,78_24,O_090,0,9/19/2024,Y,25,
540S,Shallow,PRUS,69,69_3,O_031,0,9/19/2024,Y,0,
